"Pozycja na karcie";"Nazwisko";"Imiona";"Płeć";"Wiek";"Wykształcenie";"Zawód";"Miejsce pracy";"Miejsce zamieszkania";"Przynależność do partii";"Nazwa komitetu";"Sygnatura";"TERYT m. z.";"Gmina m.z."
1;"BIEDROŃ";"Robert";"Mężczyzna";44;"wyższe politologiczne";"poseł do Parlamentu Europejskiego";"";"Warszawa";"członek partii politycznej: Wiosna Roberta Biedronia";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ ROBERTA BIEDRONIA";"ZPOW-6020-6/20";"146506";"Ochota"
2;"BOSAK";"Krzysztof";"Mężczyzna";38;"średnie";"poseł na Sejm Rzeczypospolitej Polskiej";"";"Warszawa";"członek partii politycznej: Konfederacja Wolność i Niepodległość";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ KRZYSZTOFA BOSAKA";"ZPOW-6020-1/20";"146518";"Wola"
3;"DUDA";"Andrzej Sebastian";"Mężczyzna";48;"wyższe prawnicze";"Prezydent Rzeczypospolitej Polskiej";"";"Kraków";"nie należy do partii politycznej";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ ANDRZEJA DUDY";"ZPOW-6020-5/20";"126101";"m. Kraków"
4;"HOŁOWNIA";"Szymon Franciszek";"Mężczyzna";43;"średnie";"publicysta";"własna działalność gospodarcza";"Otwock";"nie należy do partii politycznej";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ SZYMONA HOŁOWNI";"ZPOW-6020-4/20";"141702";"m. Otwock"
5;"JAKUBIAK";"Marek";"Mężczyzna";61;"średnie";"menadżer";"Browary Regionalne Jakubiak Sp. z o.o.";"Warszawa";"członek partii politycznej: Federacja dla Rzeczypospolitej";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ MARKA JAKUBIAKA";"ZPOW-6020-28/20";"146510";"Śródmieście"
6;"KOSINIAK-KAMYSZ";"Władysław Marcin";"Mężczyzna";38;"wyższe medyczne";"poseł na Sejm Rzeczypospolitej Polskiej";"";"Kraków";"członek partii politycznej: Polskie Stronnictwo Ludowe";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ WŁADYSŁAWA KOSINIAKA-KAMYSZA";"ZPOW-6020-2/20";"126101";"m. Kraków"
7;"PIOTROWSKI";"Mirosław Mariusz";"Mężczyzna";54;"wyższe historyczne";"nauczyciel akademicki";"Wyższa Szkoła Kultury Społecznej i Medialnej";"Lublin";"członek partii politycznej: Ruch Prawdziwa Europa - Europa Christi";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ MIROSŁAWA PIOTROWSKIEGO";"ZPOW-6020-9/20";"066301";"m. Lublin"
8;"TANAJNO";"Paweł Jan";"Mężczyzna";44;"wyższe w zakresie zarządzania";"przedsiębiorca";"IAM4U.pl Sp. z o.o.";"Warszawa";"nie należy do partii politycznej";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ PAWŁA TANAJNO";"ZPOW-6020-13/20";"146518";"Wola"
9;"TRZASKOWSKI";"Rafał Kazimierz";"Mężczyzna";48;"wyższe politologiczne";"pracownik samorządowy";"Urząd m.st. Warszawy";"Warszawa";"członek partii politycznej: Platforma Obywatelska RP";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ RAFAŁA TRZASKOWSKIEGO";"ZPOW-6020-41/20";"146510";"Śródmieście"
10;"WITKOWSKI";"Waldemar Włodzimierz";"Mężczyzna";66;"wyższe";"zarządca";"Spółdzielnia Mieszkaniowa im. Hipolita Cegielskiego";"Poznań";"członek partii politycznej: Unia Pracy";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ WALDEMARA WŁODZIMIERZA WITKOWSKIEGO";"ZPOW-6020-20/20";"306401";"m. Poznań"
11;"ŻÓŁTEK";"Stanisław Józef";"Mężczyzna";64;"średnie";"";"własna działalność";"Kraków";"członek partii politycznej: Kongres Nowej Prawicy";"KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ STANISŁAWA ŻÓŁTKA";"ZPOW-6020-10/20";"126101";"m. Kraków"
