"Kod TERYT";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"% głosów ważnych";"Robert BIEDROŃ";"Krzysztof BOSAK";"Andrzej Sebastian DUDA";"Szymon Franciszek HOŁOWNIA";"Marek JAKUBIAK";"Władysław Marcin KOSINIAK-KAMYSZ";"Mirosław Mariusz PIOTROWSKI";"Paweł Jan TANAJNO";"Rafał Kazimierz TRZASKOWSKI";"Waldemar Włodzimierz WITKOWSKI";"Stanisław Józef ŻÓŁTEK";"Liczba obwodów"
"020000";"dolnośląskie";"63,47";"0,32";"34,25";"65,75";"0,00";"99,68";"2,61";"6,44";"38,21";"14,09";"0,16";"1,91";"0,09";"0,17";"35,92";"0,15";"0,25";1947
"040000";"kujawsko-pomorskie";"61,03";"0,29";"36,21";"63,79";"0,00";"99,71";"2,31";"5,88";"39,54";"15,46";"0,14";"2,52";"0,09";"0,14";"33,59";"0,11";"0,22";1653
"060000";"lubelskie";"62,32";"0,33";"31,92";"68,08";"0,00";"99,67";"1,63";"7,99";"56,67";"10,45";"0,20";"3,04";"0,22";"0,14";"19,32";"0,10";"0,25";1906
"080000";"lubuskie";"61,41";"0,32";"31,65";"68,35";"0,00";"99,68";"2,20";"6,07";"34,19";"17,87";"0,14";"2,02";"0,09";"0,16";"36,94";"0,12";"0,19";720
"100000";"łódzkie";"65,65";"0,32";"36,76";"63,24";"0,00";"99,68";"2,30";"6,15";"46,63";"12,92";"0,17";"2,47";"0,10";"0,14";"28,74";"0,13";"0,23";1733
"120000";"małopolskie";"67,22";"0,27";"34,33";"65,67";"0,00";"99,73";"1,92";"7,76";"51,11";"11,54";"0,18";"2,94";"0,10";"0,12";"23,92";"0,13";"0,28";2419
"140000";"mazowieckie";"70,34";"0,29";"33,25";"66,75";"0,00";"99,71";"2,55";"6,52";"40,71";"12,74";"0,22";"2,27";"0,11";"0,15";"34,30";"0,19";"0,24";3632
"160000";"opolskie";"56,68";"0,33";"32,79";"67,21";"0,00";"99,67";"1,84";"6,11";"40,46";"16,64";"0,16";"2,33";"0,10";"0,14";"31,88";"0,12";"0,21";871
"180000";"podkarpackie";"63,37";"0,28";"33,88";"66,12";"0,00";"99,72";"1,39";"8,96";"60,69";"9,46";"0,18";"2,56";"0,11";"0,11";"16,23";"0,08";"0,22";1819
"200000";"podlaskie";"60,35";"0,31";"30,12";"69,88";"0,00";"99,69";"1,58";"7,73";"50,59";"16,63";"0,18";"2,11";"0,11";"0,13";"20,60";"0,09";"0,23";964
"220000";"pomorskie";"65,55";"0,29";"35,93";"64,07";"0,00";"99,71";"2,57";"6,22";"33,82";"16,13";"0,14";"1,91";"0,10";"0,15";"38,58";"0,14";"0,23";1397
"240000";"śląskie";"64,32";"0,29";"36,08";"63,92";"0,00";"99,71";"2,29";"7,08";"41,22";"15,39";"0,16";"1,92";"0,11";"0,16";"31,28";"0,14";"0,24";2753
"260000";"świętokrzyskie";"62,09";"0,31";"36,36";"63,64";"0,00";"99,69";"1,75";"6,93";"56,02";"10,17";"0,17";"3,18";"0,10";"0,11";"21,29";"0,09";"0,20";989
"280000";"warmińsko-mazurskie";"57,13";"0,35";"28,12";"71,88";"0,00";"99,65";"2,21";"6,69";"40,10";"14,78";"0,17";"2,48";"0,10";"0,15";"33,00";"0,12";"0,20";1115
"300000";"wielkopolskie";"65,49";"0,27";"39,28";"60,72";"0,00";"99,73";"2,34";"6,04";"37,85";"16,64";"0,14";"2,51";"0,10";"0,14";"33,83";"0,18";"0,22";2186
"320000";"zachodniopomorskie";"61,69";"0,33";"32,10";"67,90";"0,00";"99,67";"2,67";"5,59";"35,38";"15,67";"0,15";"2,06";"0,09";"0,16";"37,91";"0,13";"0,20";1123
