"Kod TERYT";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście której rejestracja została unieważniona";"% głosów ważnych";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"020000";"dolnośląskie";"60,92";"1,10";"62,89";"37,11";"0,00";"98,90";"30,19";"";"6,53";"6,85";"";"38,32";"";"15,10";"3,00";""
"040000";"kujawsko-pomorskie";"58,10";"1,34";"66,81";"33,19";"0,00";"98,66";"28,76";"";"6,69";"9,94";"";"38,39";"";"15,00";"1,22";""
"060000";"lubelskie";"58,00";"1,11";"61,81";"38,19";"0,00";"98,89";"17,44";"";"6,56";"10,25";"";"57,10";"";"7,40";"1,26";""
"080000";"lubuskie";"57,20";"1,47";"67,10";"32,90";"0,00";"98,53";"31,27";"";"7,19";"11,63";"";"34,30";"";"15,61";"";""
"100000";"łódzkie";"63,51";"1,09";"61,70";"38,30";"0,00";"98,91";"24,32";"";"6,39";"8,38";"";"45,87";"";"14,45";"0,59";""
"120000";"małopolskie";"63,78";"0,99";"59,25";"40,75";"0,00";"99,01";"22,02";"";"7,41";"8,66";"0,10";"52,08";"";"9,18";"0,55";""
"140000";"mazowieckie";"69,46";"0,88";"54,78";"45,22";"0,00";"99,12";"29,80";"0,04";"6,75";"8,34";"";"40,88";"0,08";"13,26";"0,84";""
"160000";"opolskie";"52,91";"1,46";"68,25";"31,75";"0,00";"98,54";"26,71";"";"5,70";"10,31";"";"37,64";"";"11,74";"";"7,90"
"180000";"podkarpackie";"58,57";"1,05";"61,97";"38,03";"0,00";"98,95";"15,00";"";"7,68";"7,81";"";"62,77";"0,36";"6,37";"";""
"200000";"podlaskie";"56,97";"0,94";"55,79";"44,21";"0,00";"99,06";"21,04";"0,34";"6,96";"9,33";"";"52,04";"0,44";"9,09";"0,77";""
"220000";"pomorskie";"63,46";"1,04";"59,24";"40,76";"0,00";"98,96";"38,46";"";"7,26";"6,97";"";"34,37";"";"12,95";"";""
"240000";"śląskie";"62,25";"0,98";"58,80";"41,20";"0,00";"99,02";"30,09";"";"7,07";"5,97";"";"42,09";"";"13,76";"1,01";""
"260000";"świętokrzyskie";"57,70";"1,11";"62,90";"37,10";"0,00";"98,89";"16,65";"";"5,95";"9,88";"";"55,18";"1,45";"9,95";"0,95";""
"280000";"warmińsko-mazurskie";"53,61";"1,60";"67,00";"33,00";"0,00";"98,40";"27,31";"";"6,41";"12,20";"";"39,70";"0,40";"12,89";"1,08";""
"300000";"wielkopolskie";"62,95";"1,37";"66,75";"33,25";"0,00";"98,63";"31,39";"0,13";"6,63";"10,36";"";"36,80";"";"14,68";"";""
"320000";"zachodniopomorskie";"57,87";"1,42";"66,98";"33,02";"0,00";"98,58";"34,47";"";"6,33";"8,14";"";"35,74";"";"15,32";"";""
